age,income,loan_amount,emp_length,home_ownership,purpose,credit_history_length,historical_default,default
58,113021.93098045145,13445.224538168111,0,RENT,HOME_IMPROVEMENT,8,0,0
48,96584.10948121634,2947.1576126241307,13,RENT,HOME_IMPROVEMENT,4,0,0
34,56044.533940580564,27080.07217561297,16,MORTGAGE,VENTURE,14,0,1
62,138344.08326747947,38215.92209278976,8,MORTGAGE,HOME_IMPROVEMENT,10,0,0
27,25863.088038642014,25606.159325990597,0,MORTGAGE,VENTURE,1,0,1
40,34230.78782828497,11428.780362726655,0,MORTGAGE,EDUCATION,4,1,1
58,70911.91827024629,3447.774663196527,2,RENT,DEBT_CONSOLIDATION,1,0,0
38,36176.88244859132,11229.007150128522,0,MORTGAGE,DEBT_CONSOLIDATION,17,0,1
42,144334.04068272526,19893.221407056968,0,MORTGAGE,HOME_IMPROVEMENT,17,0,0
30,123738.61187863984,34663.291434091254,3,MORTGAGE,DEBT_CONSOLIDATION,7,0,1
30,53667.744708235776,10077.242659124287,12,RENT,EDUCATION,12,0,0
43,96512.0497665219,32951.0324942515,2,RENT,HOME_IMPROVEMENT,13,0,1
55,147702.96696041062,39278.139139130995,6,RENT,DEBT_CONSOLIDATION,2,0,0
59,134945.8671570954,21519.714468659353,6,MORTGAGE,DEBT_CONSOLIDATION,19,0,0
43,98103.79803748574,37321.57564063151,1,MORTGAGE,DEBT_CONSOLIDATION,13,0,0
22,137484.11573278517,25850.265965509112,4,MORTGAGE,HOME_IMPROVEMENT,4,0,0
41,148594.03827573668,29394.905994478915,1,MORTGAGE,HOME_IMPROVEMENT,15,0,0
21,116635.86697617114,24629.973794542715,0,MORTGAGE,HOME_IMPROVEMENT,3,0,0
43,28448.233232776223,21916.426820307694,7,OWN,DEBT_CONSOLIDATION,9,0,1
63,72205.43073531336,12090.097996361523,0,RENT,EDUCATION,9,0,0
49,128917.3455868219,15037.34455682498,31,RENT,VENTURE,1,1,0
57,49973.99545465247,14468.715114575189,1,OWN,DEBT_CONSOLIDATION,17,0,0
21,127983.5273075812,26221.424031014034,3,RENT,HOME_IMPROVEMENT,3,0,0
40,35644.03906454947,7158.008800027266,3,OWN,MEDICAL,10,1,0
52,26102.89642921569,41422.04270020041,0,OWN,DEBT_CONSOLIDATION,5,0,1
31,69931.77949386244,32988.17124717387,0,MORTGAGE,HOME_IMPROVEMENT,13,0,0
41,24775.15186545977,19262.162129267326,5,MORTGAGE,DEBT_CONSOLIDATION,15,0,1
63,144445.13418783233,8820.838214634252,9,MORTGAGE,EDUCATION,6,0,0
44,127406.74045321556,39925.66329803034,11,MORTGAGE,DEBT_CONSOLIDATION,7,0,0
46,124100.05932688375,37422.457874350104,3,RENT,MEDICAL,17,0,0
61,101871.1299894999,33034.02676683871,9,RENT,EDUCATION,6,0,0
47,48122.12299475196,13676.523038683421,6,RENT,VENTURE,8,0,1
35,87373.84766793098,19305.205409647762,7,MORTGAGE,EDUCATION,12,0,0
34,97645.62941594434,6418.174855454205,4,RENT,HOME_IMPROVEMENT,14,0,0
63,88254.09511183486,10128.699563283863,6,RENT,HOME_IMPROVEMENT,12,0,0
22,53830.33783369855,35669.715404619514,4,RENT,VENTURE,4,0,1
56,86982.23016091436,32746.664910579406,3,MORTGAGE,MEDICAL,15,0,0
26,83854.22431292146,27519.88780796519,8,OWN,HOME_IMPROVEMENT,7,0,0
40,149523.65085487417,40516.24921482543,5,OWN,MEDICAL,9,0,0
28,136666.6992460065,27080.46026596095,1,MORTGAGE,HOME_IMPROVEMENT,10,0,1
58,80239.4972680306,22079.62399843526,0,MORTGAGE,HOME_IMPROVEMENT,10,0,0
37,100981.85978156544,16635.942091147794,2,MORTGAGE,HOME_IMPROVEMENT,16,1,1
23,117223.3085319897,42439.28574665542,4,MORTGAGE,DEBT_CONSOLIDATION,5,0,1
44,24532.470830397237,5556.764845547201,10,MORTGAGE,DEBT_CONSOLIDATION,5,0,0
33,136339.7873596192,42028.15699861476,0,RENT,DEBT_CONSOLIDATION,3,0,0
28,131816.4861343301,37548.73037703379,9,OWN,HOME_IMPROVEMENT,10,0,0
45,79466.17271058194,7586.9867550351555,11,RENT,DEBT_CONSOLIDATION,11,0,0
21,70852.06959044936,26294.327380035902,0,MORTGAGE,HOME_IMPROVEMENT,3,0,1
39,55484.71873132094,39261.563215210736,11,MORTGAGE,MEDICAL,5,1,1
47,81967.98768294789,26587.79403510761,28,RENT,DEBT_CONSOLIDATION,12,0,0
26,25768.96625932078,41009.59232710676,7,RENT,HOME_IMPROVEMENT,4,0,1
63,130785.159335111,42548.30412308982,9,MORTGAGE,DEBT_CONSOLIDATION,15,0,0
27,24604.90789441086,20162.534453925153,9,RENT,DEBT_CONSOLIDATION,9,1,1
54,62776.677498083234,18224.487440471916,5,MORTGAGE,VENTURE,7,0,1
33,141106.63348146869,42261.80962067375,2,MORTGAGE,HOME_IMPROVEMENT,10,0,0
36,115577.64508804886,31031.022629435727,10,MORTGAGE,VENTURE,13,0,0
55,56580.82487507848,6988.975297971279,5,MORTGAGE,DEBT_CONSOLIDATION,8,0,0
59,52844.38221491506,3818.5452165752913,5,MORTGAGE,HOME_IMPROVEMENT,12,0,0
23,20660.678176343376,26279.049192882314,1,MORTGAGE,DEBT_CONSOLIDATION,5,0,1
21,110442.85807046753,41997.351513852256,3,MORTGAGE,DEBT_CONSOLIDATION,1,0,0
25,26341.865617512503,38302.69420345019,0,MORTGAGE,DEBT_CONSOLIDATION,7,0,1
61,89238.32752209908,31061.453097966467,15,MORTGAGE,DEBT_CONSOLIDATION,17,0,0
23,145075.85643696645,7981.981502316764,2,MORTGAGE,DEBT_CONSOLIDATION,5,0,0
48,34230.95180707901,12931.94950119391,0,RENT,DEBT_CONSOLIDATION,11,0,1
37,136282.39102584877,39646.98274176249,3,MORTGAGE,MEDICAL,18,1,0
